Полное наименование,ОКПО,ИНН,ОГРН
Закрытое акционерное общество РУБИКОН - С,17831981,7706043182,1027739323150
Общество с ограниченной ответственностью ПОЖАРНОЕ ОБЩЕСТВО М,17948921,7705410658,1037700046317
Общество с ограниченной ответственностью ОБЩЕСТВО,18080614,5040003494,1025005116652
Общество с ограниченной ответственностью НОТЕКА-С,18252357,5013033309,1035002601864
Общество с ограниченной ответственностью ДИ ЭЧ ВИ-С,18257585,5043037950,1095043000601
Общество с ограниченной ответственностью С.А.С. ТРЭЙДИНГ,18266299,7709241908,1037739477346
Общество с ограниченной ответственностью ИСР ТРАНС,18270912,7707205911,1027700474163
Общество с ограниченной ответственностью ОБЩЕСТВО С ДОПОЛНИТЕЛЬНОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА СТИЛЬ ДЕ ЛЮКС,18307064,7709239585,1037739359602
Общество с ограниченной ответственностью ЧЕДР-С,18372972,7710277673,1027700513500
Непубличное акционерное общество АКЦИОНЕРНОЕ ОБЩЕСТВО ТЕХНОСЕРВЪ А/С,18387502,7713316514,1027739104755
Общество с ограниченной ответственностью ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ МЕДВЕДЬ-С,18510865,7701212750,1027700206379
Общество с ограниченной ответственностью ФАВОРИТ-С,18592165,7705239513,1027739461881
Общество с ограниченной ответственностью Г.С.А.,18634171,7706180936,1027739763590
Общество с ограниченной ответственностью МВКА,18661877,7713196574,1037739370327
Общество с ограниченной ответственностью АГРАФ-С,18668566,7722158504,1027739546890
Общество с ограниченной ответственностью ГРУМАНТ-С,18709822,7708110765,1037739535932
Общество с ограниченной ответственностью АРВИКА-С,18720309,7704195334,1037739334038
Общество с ограниченной ответственностью ЭЛЕКТРОТЕХ-С,18931762,7714150942,1037739460637
Общество с ограниченной ответственностью КЛОНДАЙК-СВЯЗЬ-С,18945422,7703213502,1027700457421
Общество с ограниченной ответственностью ТОРР-С,18961148,7714151287,1027739132740
Общество с ограниченной ответственностью ЛЕБЕДЬ-С,20535813,7704075615,1037739623415
Общество с ограниченной ответственностью ГАЛАНТ-С,20590819,7705249254,1027700171652
Общество с ограниченной ответственностью БЭСК ИНЖИНИРИНГ,20830241,0275038560,1020202771049
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕСТВЕННОСТЬЮ ТРИО-ЖЕЛДОРСЕРВИС,20869154,6632000510,1026601813039
Общество с ограниченной ответственностью ФОРТ-С,20886419,7021060275,1027000867046
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННО ОТВЕТСТВЕННОСТЬЮ С Т,21054112,2320001085,1022302956830
Общество с ограниченной ответственностью ВЕЛТА-С,21129904,6318215418,1026301174206
Общество с ограниченной ответственностью АЛСТОК-САМАРА,21152895,6376016450,1036302941971
Общество с ограниченной ответственностью ДОБРЫЕ ВЕСТИ-СЕРВИС,21158538,6315559650,1026300965976
Общество с ограниченной ответственностью РОНА,21183803,6321032213,1036301012550
Общество с ограниченной ответственностью НОМИНАЛ ТРЕЙД-С,21186090,6319084493,1036300890515
Общество с ограниченной ответственностью ФРАНКО С,21189289,6319023719,1026301718145
Общество с ограниченной ответственностью БАЗАЛЬТ - С,21201435,6317042579,1036300661110
Общество с ограниченной ответственностью ОМЕГА - С,21212449,6325030369,1026303059859
Общество с ограниченной ответственностью АККОРД УПРАВЛЕНИЕ ИМУЩЕСТВОМ,21320890,6924002466,1026900567484
Общество с ограниченной ответственностью ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА - С,21649199,1326188430,1031316005181
Общество с ограниченной ответственностью КОМИТО-С,21736797,7602037900,1027600515150
Общество с ограниченной ответственностью АУДИТОРСКАЯ ФИРМА И.С.К.,21741373,7627001091,1027601598078
Общество с ограниченной ответственностью ДЕЛСИ-С,21924211,2458006287,1022400556177
Общество с ограниченной ответственностью ПРОФИЛЬ - С,22057816,2634055540,1022601957993
Общество с ограниченной ответственностью ТИТАН - С,22128309,2608006190,1022602622239
Общество с ограниченной ответственностью ДЕВИ С,22314182,3127005823,1023102261478
Общество с ограниченной ответственностью ПРОМВАТИН-С,22744221,3312004976,1023302955444
Непубличное акционерное общество АКЦИОНЕРНОЕ ОБЩЕСТВО ВОРОНЕЖСКИЙ ЗАВОД ПОЛУПРОВОДНИКОВЫХ ПРИБОРОВ - СБОРКА,22788135,3661033635,1053600592330
Общество с ограниченной ответственностью ДВИЖЕНИЕ-3 С,22976724,4341010729,1024300749208
Общество с ограниченной ответственностью С` МАРКЕТ,23380258,4708013220,1044701478568
Общество с ограниченной ответственностью РИФ-С,23470949,5001015633,1035000705960
Общество с ограниченной ответственностью ПОСЕЙДОН - С,23480646,5024052550,1025002880561
Общество с ограниченной ответственностью САХАЛИН-С,23587114,5406219360,1035402459630
Общество с ограниченной ответственностью С.Д.,23589685,5445109379,1025404723850
Общество с ограниченной ответственностью ГОРИЗОНТ С,23705097,5503065500,1025500756049
Общество с ограниченной ответственностью КОМПЛЕКТ С,24129678,6027064524,1026000954870
Общество с ограниченной ответственностью А.Л.С.,24164491,6155003090,1026102772871
Общество с ограниченной ответственностью Р.С.АЛЬЯНС,24225471,6154014117,1026102585805
Общество с ограниченной ответственностью С А С,24316558,6228000016,1026200958068
Общество с ограниченной ответственностью ТЕКО-С,24401494,6453064469,1026403063686
Общество с ограниченной ответственностью НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АГРОСЕМСЕРВИС,24408332,6453011428,1026403057120
Общество с ограниченной ответственностью ФРЕГАТ-С,24415639,6454057880,1026403347343
Общество с ограниченной ответственностью ДЖЕТ-С,24524085,1835022133,1021801651145
Общество с ограниченной ответственностью ЕВРОДОМ-С,25399196,7328039259,1027301578633
Общество с ограниченной ответственностью АЛЮР-С,25560869,5246017878,1025201528263
Общество с ограниченной ответственностью ВЕКТОР-С,25770868,6730019510,1026701438884
Общество с ограниченной ответственностью ЩИТ* С,25797933,6726008988,1036719800237
Общество с ограниченной ответственностью ДИАНА-С,25799010,6713005027,1026700649436
Общество с ограниченной ответственностью ТАУ-С,25812147,6730000614,1026701438686
Общество с ограниченной ответственностью САМТРЕСТ-С.ПЕТЕРБУРГ,25902407,7813087674,1027806872510
Общество с ограниченной ответственностью ВЭЛЛ С,26207112,2455009113,1022401532152
Общество с ограниченной ответственностью ЛЕОН-С,26303525,1215085285,1031200402320
Общество с ограниченной ответственностью ГОРОД С,26371834,2320106433,1022302923180
Общество с ограниченной ответственностью ИТЕРА - С,26834790,6453065455,1036405302120
Общество с ограниченной ответственностью ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ СЕВЕР-КОМПЛЕКТ-СЕРВИС,27377744,7204039898,1027200858530
Общество с ограниченной ответственностью СТРОИТЕЛЬНОЕ ОБЩЕСТВО МКС,27419365,7814038824,1037832000568
Общество с ограниченной ответственностью РЕСКРИПТ-С,27797742,1326188790,1031316007579
Общество с ограниченной ответственностью ВОЛНА-С,28845058,7014000839,1027001691298
Общество с ограниченной ответственностью ХУХТАМАКИ С.Н.Г.,29004177,7724000760,1025001768110
Общество с ограниченной ответственностью ОБЩЕСТВО РАЗВИТИЯ АРХИТЕКТУРЫ,29114693,7703013662,1027739749510
Непубличное акционерное общество ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ТЕЛЕИНФОРМ,29334288,7723190652,1027700125991
Общество с ограниченной ответственностью МАРИОС-С,29494129,7719229473,1027739512767
Общество с ограниченной ответственностью С.Б.С.,29523532,4028057477,1144028001809
Общество с ограниченной ответственностью МАСТЕР - С,29852451,4825008953,1024840865785
Общество с ограниченной ответственностью ИНЖЕНЕР-С,29972072,1831083801,1021801160820
Общество с ограниченной ответственностью С-ТЕХНИКА,29990035,1831084322,1021801172711
Непубличное акционерное общество ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО РИМРО,31008030,7801003430,1037800004560
Общество с ограниченной ответственностью С - ГРУП,31775338,6228010328,1026200871597
Общество с ограниченной ответственностью С.В.Т.С.-СЕРВИС-ЮГ,31810945,2308086773,1022301193859
Общество с ограниченной ответственностью МАСТ-С,32440195,7723027180,1027739196286
Общество с ограниченной ответственностью ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСВТЕННОСТЬЮ ВЯТСТРОЙСЕРВИС-С,32855944,4345053949,1034316517058
Общество с ограниченной ответственностью СЕЛЕНА,33084733,8622001646,1028601845645
Общество с ограниченной ответственностью РАССВЕТ С.И.,33321185,6142017667,1036142000223
Общество с ограниченной ответственностью ФИРМА ЛОТО С,33560607,6317027002,1026301418263
Общество с ограниченной ответственностью СКАТ-С,33589491,8913001739,1028900897739
Общество с ограниченной ответственностью С.В.Т.С.-СОПРОВОЖДЕНИЕ-ПРИМОРЬЕ,33633499,2540088780,1022502258041
Общество с ограниченной ответственностью ЭКСТРА- С,34195015,6455015298,1026403669918
Общество с ограниченной ответственностью БРИЗ-С,34884418,5003023510,1035000904014
Закрытое акционерное общество АРТЕЛЬ СТАРАТЕЛЕЙ АРХАРА,35036744,2810002257,1022800875404
Общество с ограниченной ответственностью ПАРУС С,35228165,7728031695,1027739294197
Общество с ограниченной ответственностью ЭЛЕКТРОМОНТАЖНИК,35420684,4629029435,1024600971834
Непубличное акционерное общество ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖЕНЕРНАЯ КОНСУЛЬТАЦИОННАЯ КОМПАНИЯ СОВИНТЕРВОД,35922871,7731042961,1027700213870
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ С ИНОСТРАННЫМИ ИНВЕСТИЦИЯМИ ВДК-ВОЛГА,35969401,2129025485,1022101271796
Общество с ограниченной ответственностью ДИЗЕЛЬ-С,36279319,7206036701,1077206002631
Общество с ограниченной ответственностью МАЙЯ-С,36532066,7726021518,1037739116744
Публичное акционерное общество ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО БИЛАЙН-САМАРА,36878445,6311028391,1026301172150
Общество с ограниченной ответственностью СКОРПИО-С,38971739,7706242847,1027739533106
Общество с ограниченной ответственностью АВТО - С,39184811,7627010988,1027600840079
Общество с ограниченной ответственностью ЮЛИЯ-С,39403317,1835031794,1021801658845
Общество с ограниченной ответственностью СЕЛЬСКОХОЗЯЙСТВЕННАЯ ФИРМА ВЕРЛИОКА,39728568,2318014048,1022302788243
